                       Headset Description                        ,,,,,,,,,,,,,,
==================================================================,,,,,,,,,,,,,,
Product Name: Oculus Rift CV1,,,,,,,,,,,,,,
Serial Number: WMHD30311019KC,,,,,,,,,,,,,,
Headset Refresh Rate: 89.997 frames per second,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
                           Sensor Data                            ,,,,,,,,,,,,,,
==================================================================,,,,,,,,,,,,,,
"Angular Accel. (x,y,z)",,,"Linear Accel. (x,y,z)",,,"Angular Velocity (Gyro) (x,y,z)",,,"Linear Velocity (x,y,z)",,,Yaw,Pitch,Roll
x,y,z,x,y,z,x,y,z,x,y,z,Y,P,R
-4.75289,-7.69219,5.17877,-0.408494,-0.522659,-0.194504,-0.563684,-0.0545849,0.118677,0.0354842,-0.614247,-0.0234479,1.04091,13.6258,-0.0333715
3.37896,-5.27092,0.005826,0.183475,1.76047,0.459603,-0.915977,-0.213811,-0.00277442,-0.0039994,-0.657902,0.0148262,-0.302279,2.53541,-0.630066
-0.536385,2.86095,-5.46765,0.284251,3.42303,-0.36105,-0.292367,-0.0194051,0.194889,-0.0204251,-0.118479,0.0245613,-1.96206,-1.10458,2.70622
3.57407,7.40499,0.106098,-0.165081,1.00058,0.11305,0.399543,-0.0454581,0.0302776,0.0084243,0.303779,-0.0161855,-1.83705,0.807628,2.56275
0.0894953,-2.28991,-3.10919,0.266231,0.000805967,0.197306,0.53987,-0.262143,0.0296091,0.00986,0.425343,-0.0123754,-2.87271,6.36752,3.56442
1.82885,1.77481,0.980138,0.0318147,-1.51111,0.19604,0.203734,-0.426231,0.124816,0.0235484,0.330545,-0.0267557,-6.83823,9.86573,2.71268
-0.419053,1.37022,1.49442,-0.098362,-1.17545,-0.243881,0.0456036,0.149683,-0.0778465,0.00770633,0.0211576,0.0278897,-7.4692,12.7844,2.2133
9.44618,7.14486,-0.127737,0.151231,0.311459,0.198632,-0.1332,0.466983,-0.0193847,-0.00898385,-0.0328517,-0.00856285,-4.42277,9.73171,2.62442
-4.63891,6.85731,1.08622,-0.335997,-0.564115,0.0694493,-0.146707,2.02787,-0.54452,-0.0251492,-0.0541903,-0.000555495,10.1116,9.58633,2.4756
2.02612,-1.34562,9.5649,0.361868,0.313977,0.811555,-0.44396,1.40742,0.0559043,-0.0852598,-0.0233167,0.0593266,29.2741,3.33964,2.16935
2.04348,-10.0949,3.22808,-0.0252799,-0.424421,-0.194202,0.1696,1.59871,-0.00428074,-0.00519539,0.01508,0.106241,47.3191,2.1653,4.37598
-3.61545,-15.1888,5.67864,0.259627,-0.0495574,-0.957913,-0.0215145,-0.574431,-0.0378351,0.0137736,-0.00668022,-0.0647998,53.9471,2.08873,3.83242
1.39221,-1.08629,5.90296,-0.101501,0.0267651,0.168524,0.0605048,-2.23013,0.44535,0.0101586,-0.0233319,-0.139806,34.8626,3.1321,5.46374
-6.29771,2.29206,0.486933,-0.107005,0.146104,0.335299,0.154188,-2.45384,-0.0481204,0.0171622,0.00911436,-0.0235036,8.51622,8.93733,5.45636
7.47586,0.143693,5.59403,-0.0895104,0.122694,0.367468,-0.433427,-2.19626,0.211969,0.0557123,-0.0364615,0.0789624,-20.6588,7.01002,1.17125
8.62947,10.6713,-1.00206,-0.445345,0.814443,0.454888,-0.170047,-1.9312,0.175718,0.0131981,-0.0470098,0.184802,-45.5599,5.68795,0.45541
4.36618,12.4144,-6.02415,0.252957,0.118463,-1.02405,0.0822866,-0.118642,0.0878949,-0.00281626,-0.00512773,0.0869435,-58.6137,6.62751,2.1771
-0.779874,9.9474,-1.84142,-0.394094,0.0155047,-0.403886,0.217684,1.37014,-0.371026,-0.000352591,0.0126015,-0.0520054,-49.7622,7.20483,0.985773
0.430707,0.000345703,-0.298955,-0.803457,-0.00856128,0.194902,-0.302381,1.38133,-0.00700763,-0.00912758,-0.00722151,-0.0622143,-31.6645,6.06511,2.34041
-6.49579,2.61449,0.482697,-0.196481,-0.379527,-0.0687121,0.188613,1.78988,-0.482492,-0.0279421,-0.021974,-0.0515751,-12.7208,6.44159,1.10723
2.82811,-5.7943,-4.76251,-0.00727986,-0.0437771,0.235022,-0.500543,0.432828,-0.0943092,0.0240632,-0.0649949,-0.0421414,2.22433,1.52349,-0.0904395
